epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.616,1.67392,1.20829,0.97649,0.59894,0.4541,0.45972,0.24871,1.51014,0.90745,0.91478,0.00333024,0.00333024,0.0700278
2,632.478,1.65377,1.0319,0.93415,0.63332,0.47181,0.49597,0.26705,1.4823,0.88422,0.90879,0.00662297,0.00662297,0.0399872
3,322.174,1.67488,1.03247,0.93515,0.63795,0.4813,0.50132,0.26755,1.52123,0.92041,0.91302,0.00975472,0.00975472,0.00978561
